Time(s):	R.Med. Gastro(μV):	R.Tib.Ant.(μV):	R.Rectus Fem.(μV):	R.Biceps Fem.(μV):
0.000000	 -27.191200	 -7.351700	 12.185700	 -36.254900	 
0.000500	 -9.768700	 -0.604200	 84.695400	 -33.535800	 
0.001000	 8.862300	 4.733300	 66.769400	 -31.723000	 
0.001500	 13.192700	 11.581400	 -215.615800	 -32.830800	 
0.002000	 26.486200	 22.558600	 -779.480000	 -29.507400	 
0.002500	 63.143900	 29.708900	 -1483.630400	 -28.903200	 
0.003000	 88.623000	 42.398100	 -1903.179900	 -31.723000	 
0.003500	 93.759200	 43.405200	 -2023.626700	 -36.254900	 
0.004000	 105.743400	 34.442100	 -1812.240600	 -30.313100	 
0.004500	 109.066800	 34.945700	 -1390.676900	 -26.284800	 
0.005000	 102.822900	 45.620700	 -754.806500	 -29.306000	 
0.005500	 93.457000	 41.189600	 156.399500	 -30.917400	 
0.006000	 79.156500	 35.147100	 1215.142800	 -34.845000	 
0.006500	 64.755200	 19.436600	 1874.176000	 -25.177000	 
0.007000	 62.539700	 -1.712000	 2219.906500	 -20.745800	 
0.007500	 63.345300	 -20.242300	 2270.764200	 -15.307600	 
0.008000	 58.108500	 -33.334400	 1996.234100	 -14.300500	 
0.008500	 39.477500	 -18.530300	 1461.071800	 -18.933100	 
0.009000	 22.860700	 -9.466600	 1101.846300	 -3.424100	 
0.009500	 11.782800	 19.436600	 937.893700	 -0.100700	 
0.010000	 0.705000	 43.505900	 752.087400	 -3.927600	 
0.010500	 -3.524800	 57.403600	 629.727200	 -13.394200	 
0.011000	 -5.740400	 55.792200	 478.262300	 -17.120400	 
0.011500	 -10.574300	 57.907100	 373.626700	 -19.134500	 
0.012000	 -20.745800	 32.931500	 349.255400	 -23.364300	 
0.012500	 -27.392600	 7.855200	 301.821900	 -16.918900	 
0.013000	 -34.542800	 -21.148700	 253.784200	 -2.920500	 
0.013500	 -35.852100	 -26.184100	 188.424700	 -1.007100	 
0.014000	 -35.852100	 -32.830800	 126.489300	 -2.819800	 
0.014500	 -40.283200	 -31.320200	 54.382300	 -7.452400	 
0.015000	 -32.428000	 18.530300	 -18.832400	 -11.480700	 
0.015500	 -34.039300	 30.615200	 -67.272900	 -16.113300	 
0.016000	 -34.140000	 30.011000	 -84.292600	 -16.012600	 
0.016500	 -29.406700	 29.708900	 -78.753700	 -13.394200	 
0.017000	 -22.357200	 16.717500	 -62.841800	 -6.848100	 
0.017500	 -30.011000	 -2.014200	 -50.253300	 2.719100	 
0.018000	 -26.788300	 5.639600	 -35.449200	 16.415400	 
0.018500	 -17.221100	 -6.143200	 -15.206900	 26.788300	 
0.019000	 -21.350100	 12.185700	 16.214000	 41.189600	 
0.019500	 -11.077900	 24.169900	 25.781200	 58.612100	 
0.020000	 -14.401200	 -5.538900	 27.594000	 57.705700	 
0.020500	 -18.026700	 -33.535800	 28.802500	 70.495600	 
0.021000	 -12.487800	 -29.205300	 37.262000	 95.169100	 
0.021500	 -11.480700	 -13.192700	 30.313100	 107.052600	 
0.022000	 -1.913500	 -7.653800	 -3.927600	 92.752100	 
0.022500	 -9.365800	 -23.364300	 -50.958300	 46.829200	 
0.023000	 -5.236800	 -23.162800	 -98.391700	 28.802500	 
0.023500	 -1.409900	 -7.251000	 -128.906200	 35.952800	 
0.024000	 -3.222700	 3.726200	 -193.560800	 28.097500	 
0.024500	 -5.438200	 3.323400	 -278.759800	 -18.429600	 
0.025000	 -1.812700	 6.948900	 -395.782500	 -69.287100	 
0.025500	 -4.632600	 23.565700	 -575.949100	 -67.474400	 
0.026000	 -1.812700	 36.456300	 -724.392700	 -22.760000	 
0.026500	 -2.719100	 51.562500	 -928.628500	 -0.604200	 
0.027000	 -2.114900	 54.583700	 -1078.683500	 5.639600	 
0.027500	 2.114900	 47.232100	 -1179.190100	 -4.229700	 
0.028000	 -6.344600	 42.498800	 -1177.578700	 -8.560200	 
0.028500	 -9.063700	 31.622300	 -942.627000	 -8.660900	 
0.029000	 2.215600	 17.825300	 -640.502900	 -3.424100	 
0.029500	 18.530300	 24.975600	 -354.794300	 4.129000	 
0.030000	 22.860700	 33.132900	 -62.942500	 6.948900	 
0.030500	 27.090500	 39.175400	 378.460700	 -0.906400	 
0.031000	 38.067600	 39.276100	 684.713700	 -5.035400	 
0.031500	 41.693100	 45.922900	 908.789100	 -1.812700	 
0.032000	 44.714400	 51.159700	 1025.006100	 -5.236800	 
0.032500	 49.649000	 56.396500	 960.754400	 -20.343000	 
0.033000	 64.856000	 61.230500	 627.209500	 -21.048000	 
0.033500	 76.236000	 53.274500	 210.580400	 -18.530300	 
0.034000	 79.760700	 37.463400	 60.525500	 -10.473600	 
0.034500	 72.207600	 38.974000	 118.734700	 -1.510600	 
0.035000	 63.848900	 55.892900	 197.186300	 7.351700	 
0.035500	 54.080200	 73.617600	 244.317600	 11.178600	 
0.036000	 49.749800	 95.471200	 272.918700	 11.279300	 
0.036500	 35.549900	 91.745000	 269.494600	 8.157300	 
0.037000	 12.185700	 72.811900	 333.544900	 7.653800	 
0.037500	 0.302100	 36.758400	 465.976000	 5.236800	 
0.038000	 -8.660900	 6.747400	 504.849200	 22.558600	 
0.038500	 -9.869400	 -35.549900	 452.279700	 30.313100	 
0.039000	 -14.703400	 -61.029100	 311.792000	 34.341400	 
0.039500	 -8.660900	 -83.587600	 125.180100	 28.601100	 
0.040000	 -14.401200	 -93.255600	 8.459500	 21.652200	 
0.040500	 -17.019700	 -89.025900	 -24.169900	 21.551500	 
0.041000	 -26.889000	 -70.999100	 -15.005500	 22.659300	 
0.041500	 -36.355600	 -35.449200	 -19.839500	 17.623900	 
0.042000	 -40.585300	 17.120400	 -36.557000	 11.682100	 
0.042500	 -44.714400	 78.653000	 -60.827600	 3.726200	 
0.043000	 -43.505900	 105.944800	 -75.531000	 -9.466600	 
0.043500	 -44.210800	 101.211500	 -98.895300	 -6.344600	 
0.044000	 -37.362700	 51.260400	 -119.238300	 2.517700	 
0.044500	 -30.212400	 -21.350100	 -125.482200	 6.344600	 
0.045000	 -15.911900	 -60.223400	 -130.416900	 8.761600	 
0.045500	 -11.581400	 -71.502700	 -125.885000	 -6.546000	 
0.046000	 -2.316300	 -69.689900	 -119.641100	 -7.553100	 
0.046500	 -9.265100	 -42.095900	 -123.468000	 4.229700	 
0.047000	 -7.452400	 -18.026700	 -131.726100	 17.523200	 
0.047500	 -9.970100	 -7.955900	 -131.021100	 23.968500	 
0.048000	 -6.445300	 6.243900	 -121.453900	 28.399700	 
0.048500	 -7.351700	 8.157300	 -102.621500	 21.148700	 
0.049000	 -9.466600	 4.028300	 -101.715100	 10.272200	 
0.049500	 -15.911900	 -12.991300	 -106.146200	 17.926000	 
0.050000	 -22.760000	 -24.069200	 -116.317700	 20.645100	 
0.050500	 -30.212400	 -38.571200	 -138.473500	 15.911900	 
0.051000	 -28.903200	 -43.304400	 -166.470300	 14.602700	 
0.051500	 -22.760000	 -28.097500	 -223.571800	 13.696300	 
0.052000	 -5.941800	 1.409900	 -316.122400	 24.371300	 
0.052500	 4.934700	 13.696300	 -469.097900	 29.608200	 
0.053000	 15.509000	 32.528700	 -503.338600	 35.650600	 
0.053500	 31.118800	 43.405200	 -511.496000	 36.254900	 
0.054000	 39.477500	 58.612100	 -578.567500	 29.306000	 
0.054500	 48.944100	 37.463400	 -653.091400	 30.413800	 
0.055000	 60.223400	 -7.251000	 -626.101700	 28.399700	 
0.055500	 56.195100	 -30.111700	 -492.260700	 21.048000	 
0.056000	 50.051900	 -44.009400	 -397.796600	 13.192700	 
0.056500	 42.901600	 -44.412200	 -242.102100	 11.581400	 
0.057000	 48.843400	 -42.196700	 -105.844100	 2.920500	 
0.057500	 56.396500	 -23.263500	 -91.946400	 -3.121900	 
0.058000	 59.518400	 8.761600	 -61.129800	 -3.323400	 
0.058500	 68.884300	 26.989700	 85.702500	 -10.775800	 
0.059000	 71.603400	 30.111700	 271.609500	 -5.538900	 
0.059500	 58.209200	 33.032200	 453.991700	 3.524800	 
0.060000	 40.283200	 26.687600	 740.606700	 13.394200	 
0.060500	 19.033800	 8.761600	 845.645100	 33.334400	 
0.061000	 1.611300	 -6.445300	 806.369000	 48.339800	 
0.061500	 -6.243900	 -11.279300	 639.697300	 48.742700	 
0.062000	 -18.026700	 19.839500	 402.832000	 36.456300	 
0.062500	 -20.443700	 36.254900	 213.501000	 25.177000	 
0.063000	 -17.422500	 51.864600	 40.585300	 15.206900	 
0.063500	 -9.869400	 41.592400	 -39.779700	 4.934700	 
0.064000	 -2.618400	 29.205300	 10.977200	 -8.459500	 
0.064500	 -10.574300	 16.113300	 106.549100	 -5.740400	 
0.065000	 -23.666400	 38.369800	 177.246100	 -0.402800	 
0.065500	 -27.291900	 73.214700	 213.702400	 9.265100	 
0.066000	 -29.406700	 120.950300	 271.710200	 16.516100	 
0.066500	 -26.687600	 170.498700	 308.166500	 22.357200	 
0.067000	 -25.076300	 241.699200	 321.862800	 25.781200	 
0.067500	 -28.299000	 286.715700	 255.999800	 29.306000	 
0.068000	 -26.889000	 296.383700	 155.090300	 29.104600	 
0.068500	 -20.745800	 282.183800	 66.265900	 39.578200	 
0.069000	 -14.804100	 195.575000	 21.249400	 29.205300	 
0.069500	 -19.940200	 63.546800	 -1.712000	 16.818200	 
0.070000	 -17.724600	 -85.299700	 -15.811200	 22.055100	 
0.070500	 -20.745800	 -205.142200	 -35.247800	 31.420900	 
0.071000	 -18.631000	 -273.522900	 -54.986600	 43.908700	 
0.071500	 -22.256500	 -257.208300	 -71.905500	 33.032200	 
0.072000	 -22.457900	 -217.730700	 -90.234400	 25.479100	 
0.072500	 -21.752900	 -134.243800	 -105.743400	 14.904800	 
0.073000	 -18.832400	 -40.484600	 -126.892100	 21.551500	 
0.073500	 -17.523200	 25.680500	 -149.652100	 26.184100	 
0.074000	 -21.954300	 90.335100	 -171.707200	 22.055100	 
