Time(s):	R.Med. Gastro(μV):	R.Tib.Ant.(μV):	R.Rectus Fem.(μV):	R.Biceps Fem.(μV):
0.000000	 41.417640	 71.450500	 863.218020	 18.114730	 
0.000500	 42.196030	 71.404080	 912.961790	 17.042830	 
0.001000	 43.209270	 71.413060	 932.898500	 16.167170	 
0.001500	 44.399080	 71.299060	 935.440920	 15.716650	 
0.002000	 45.745570	 70.965240	 933.470640	 15.680010	 
0.002500	 47.220020	 70.464630	 934.743160	 15.798170	 
0.003000	 48.756500	 69.932030	 940.967290	 15.818720	 
0.003500	 50.267500	 69.504550	 950.370610	 15.691010	 
0.004000	 51.678020	 69.285760	 960.645630	 15.506180	 
0.004500	 52.941310	 69.327770	 970.423030	 15.331130	 
0.005000	 54.030700	 69.649570	 979.371280	 15.158430	 
0.005500	 54.924920	 70.290550	 987.754580	 14.964980	 
0.006000	 55.605540	 71.235410	 996.014530	 14.750850	 
0.006500	 56.067860	 72.149170	 1004.515560	 14.537280	 
0.007000	 56.332410	 72.268500	 1013.396000	 14.364970	 
0.007500	 56.445910	 70.722850	 1022.465700	 14.282650	 
0.008000	 56.471540	 67.020760	 1031.198490	 14.282120	 
0.008500	 56.471080	 61.347660	 1038.955570	 14.229810	 
0.009000	 56.476780	 54.610280	 1045.375240	 13.930020	 
0.009500	 56.472630	 48.217620	 1050.515620	 13.330090	 
0.010000	 56.426490	 43.509040	 1054.470830	 12.689940	 
0.010500	 56.355420	 41.004630	 1056.850460	 12.474850	 
0.011000	 56.332230	 40.183770	 1056.778200	 12.913830	 
0.011500	 56.398110	 40.133690	 1053.482670	 13.744200	 
0.012000	 56.475490	 40.246610	 1046.970950	 14.562540	 
0.012500	 56.389290	 40.334770	 1038.380620	 15.223120	 
0.013000	 55.982090	 40.408900	 1029.892460	 15.809540	 
0.013500	 55.200000	 40.488380	 1023.983640	 16.341640	 
0.014000	 54.074320	 40.555670	 1021.848140	 16.646070	 
0.014500	 52.663450	 40.587320	 1022.018860	 16.611060	 
0.015000	 51.035640	 40.585200	 1021.210820	 16.489700	 
0.015500	 49.289170	 40.582530	 1017.447630	 16.852050	 
0.016000	 47.575020	 40.620290	 1012.371640	 18.263240	 
0.016500	 46.093100	 40.717970	 1009.682980	 20.951990	 
0.017000	 45.037850	 40.872320	 1010.130740	 24.606000	 
0.017500	 44.501950	 41.070980	 1007.208010	 28.451290	 
0.018000	 44.402710	 41.283870	 988.240050	 31.656970	 
0.018500	 44.511780	 41.423080	 941.157040	 33.770320	 
0.019000	 44.580780	 41.309830	 862.442690	 34.847130	 
0.019500	 44.448530	 40.715270	 761.808410	 35.245510	 
0.020000	 44.051280	 39.498890	 661.145080	 35.325000	 
0.020500	 43.372390	 37.772350	 585.596800	 35.291280	 
0.021000	 42.399930	 35.942220	 547.979370	 35.218270	 
0.021500	 41.122230	 34.508300	 540.842410	 35.129250	 
0.022000	 39.553620	 33.721950	 548.586060	 35.044700	 
0.022500	 37.758680	 33.460240	 562.206910	 34.985970	 
0.023000	 35.841970	 33.450450	 580.497800	 34.960560	 
0.023500	 33.905910	 33.529210	 603.699220	 34.956760	 
0.024000	 32.019580	 33.640680	 628.797550	 34.957090	 
0.024500	 30.226030	 33.636710	 649.763490	 34.956020	 
0.025000	 28.565820	 33.179100	 661.149780	 34.957410	 
0.025500	 27.081680	 31.922230	 661.414610	 34.958550	 
0.026000	 25.802380	 29.846310	 653.174800	 34.953680	 
