Time(s):	R.Med. Gastro(μV):	R.Tib.Ant.(μV):	R.Rectus Fem.(μV):	R.Biceps Fem.(μV):
0.000000	 -11.380000	 -925.708000	 27.694700	 -53.274500	 
0.000500	 -12.487800	 -891.366600	 28.601100	 -49.447600	 
0.001000	 -9.063700	 -874.044800	 26.284800	 -48.037700	 
0.001500	 -13.998400	 -873.944100	 26.284800	 -47.131300	 
0.002000	 -13.797000	 -891.366600	 19.436600	 -43.908700	 
0.002500	 -12.991300	 -908.789100	 17.724600	 -45.922900	 
0.003000	 -12.588500	 -892.172200	 6.344600	 -40.686000	 
0.003500	 -11.581400	 -844.638100	 0.100700	 -38.772600	 
0.004000	 -9.265100	 -831.546000	 -6.646700	 -48.138400	 
0.004500	 -6.948900	 -825.100700	 -4.733300	 -46.829200	 
0.005000	 -10.775800	 -802.038600	 -1.107800	 -39.276100	 
0.005500	 -14.300500	 -744.836400	 -6.646700	 -37.161300	 
0.006000	 -16.415400	 -681.390400	 -8.157300	 -39.578200	 
0.006500	 -10.775800	 -615.628100	 -1.510600	 -32.830800	 
0.007000	 -18.429600	 -598.507700	 1.107800	 -28.097500	 
0.007500	 -16.012600	 -592.868000	 2.819800	 -22.256500	 
0.008000	 -5.841100	 -549.261500	 -1.913500	 -25.378400	 
0.008500	 -2.618400	 -459.933500	 -7.049600	 -31.320200	 
0.009000	 0.201400	 -345.126300	 -4.431200	 -34.945700	 
0.009500	 11.984300	 -214.205900	 -6.948900	 -41.088900	 
0.010000	 22.357200	 -112.390100	 -4.834000	 -36.758400	 
0.010500	 29.306000	 -69.992100	 -0.906400	 -30.212400	 
0.011000	 33.837900	 -120.748900	 -0.805700	 -22.860700	 
0.011500	 40.585300	 -189.532500	 0.604200	 -14.904800	 
0.012000	 40.887500	 -227.298000	 -2.719100	 -5.841100	 
0.012500	 41.592400	 -209.875500	 -0.705000	 0.302100	 
0.013000	 44.110100	 -179.965200	 -8.560200	 -2.920500	 
0.013500	 44.311500	 -143.408200	 -4.431200	 -6.143200	 
0.014000	 37.866200	 -126.489300	 -10.876500	 -1.812700	 
0.014500	 40.988200	 -113.900800	 -10.473600	 -1.007100	 
0.015000	 39.175400	 -120.648200	 -10.070800	 0.201400	 
0.015500	 39.679000	 -188.223300	 -14.804100	 36.154200	 
0.016000	 39.074700	 -295.880100	 -13.797000	 63.043200	 
0.016500	 40.383900	 -337.875400	 -13.797000	 68.783600	 
0.017000	 37.262000	 -373.223900	 -4.330400	 63.043200	 
0.017500	 41.491700	 -370.907600	 -8.560200	 68.179300	 
0.018000	 37.463400	 -316.323900	 -5.941800	 75.027500	 
0.018500	 36.959800	 -262.847900	 -12.286400	 67.575100	 
0.019000	 42.700200	 -195.776400	 -12.588500	 58.007800	 
0.019500	 44.613600	 -98.794600	 -11.480700	 43.707300	 
0.020000	 46.929900	 -8.157300	 -9.265100	 27.090500	 
0.020500	 48.440600	 58.410600	 -14.099100	 13.092000	 
0.021000	 48.037700	 100.003100	 -12.890600	 29.003900	 
0.021500	 52.267500	 124.273700	 -10.473600	 52.670300	 
0.022000	 45.419300	 143.911700	 -3.424100	 71.200600	 
0.022500	 39.376800	 232.736200	 -1.309200	 66.568000	 
0.023000	 39.074700	 344.622800	 3.424100	 60.022000	 
0.023500	 42.297400	 453.488200	 5.337500	 48.642000	 
0.024000	 43.304400	 581.286600	 2.920500	 37.262000	 
0.024500	 42.398100	 728.018200	 -0.302100	 19.235200	 
0.025000	 39.981100	 988.348400	 7.452400	 15.106200	 
0.025500	 37.060500	 1218.164100	 -2.316300	 11.077900	 
0.026000	 38.873300	 1355.127000	 -5.136100	 8.761600	 
0.026500	 33.938600	 1446.167000	 4.330400	 10.876500	 
0.027000	 27.795400	 1517.266800	 3.021200	 17.321800	 
0.027500	 20.745800	 1579.303000	 3.826900	 19.235200	 
0.028000	 17.321800	 1594.006300	 11.178600	 15.106200	 
0.028500	 16.717500	 1606.393400	 11.077900	 19.638100	 
0.029000	 17.019700	 1627.642800	 18.530300	 15.609700	 
0.029500	 17.724600	 1580.108600	 18.933100	 17.623900	 
0.030000	 19.033800	 1510.620100	 24.270600	 18.228100	 
0.030500	 21.148700	 1469.329800	 24.572800	 22.457900	 
0.031000	 27.694700	 1445.159900	 23.968500	 19.235200	 
0.031500	 27.191200	 1453.720100	 19.033800	 17.623900	 
0.032000	 26.586900	 1436.599700	 25.579800	 16.516100	 
0.032500	 24.169900	 1376.879900	 14.099100	 18.026700	 
0.033000	 21.148700	 1333.676100	 11.581400	 17.120400	 
0.033500	 19.839500	 1262.173500	 14.300500	 13.696300	 
0.034000	 15.710400	 1205.172700	 15.609700	 11.077900	 
0.034500	 18.832400	 1136.087000	 11.480700	 6.445300	 
0.035000	 8.963000	 1063.275100	 9.265100	 4.431200	 
0.035500	 14.300500	 981.198100	 6.848100	 5.740400	 
0.036000	 16.616800	 907.479900	 13.897700	 0.100700	 
0.036500	 10.775800	 872.735600	 9.164400	 -0.503500	 
0.037000	 15.005500	 838.394200	 14.401200	 -9.365800	 
0.037500	 12.487800	 788.946500	 13.494900	 -6.546000	 
0.038000	 10.574300	 756.820700	 12.387100	 -12.789900	 
0.038500	 15.408300	 745.138500	 13.494900	 -11.883500	 
0.039000	 11.380000	 707.675200	 10.372900	 -18.429600	 
0.039500	 13.595600	 663.565100	 5.639600	 -26.889000	 
0.040000	 13.595600	 612.304700	 5.740400	 -25.680500	 
0.040500	 8.560200	 570.913700	 5.236800	 -30.615200	 
0.041000	 10.675000	 520.660400	 6.042500	 -32.730100	 
0.041500	 10.775800	 483.902000	 3.726200	 -40.585300	 
0.042000	 4.431200	 458.523600	 0.402800	 -40.283200	 
0.042500	 8.358800	 435.763500	 -1.913500	 -44.009400	 
0.043000	 3.726200	 413.104200	 -0.302100	 -43.103000	 
0.043500	 7.351700	 389.840700	 -4.431200	 -46.426400	 
0.044000	 8.560200	 372.619600	 -7.351700	 -47.735600	 
0.044500	 10.171500	 357.110600	 -10.876500	 -54.382300	 
0.045000	 8.862300	 341.500900	 -13.494900	 -53.375200	 
0.045500	 6.848100	 331.228600	 -20.040900	 -54.986600	 
0.046000	 -0.906400	 318.237300	 -21.350100	 -61.633300	 
0.046500	 -0.100700	 312.496900	 -14.300500	 -70.898400	 
0.047000	 1.007100	 299.404900	 -16.516100	 -68.078600	 
0.047500	 -7.150300	 287.823500	 -6.243900	 -72.912600	 
0.048000	 -5.639600	 276.443500	 -9.063700	 -77.847300	 
0.048500	 -5.136100	 266.876200	 -8.963000	 -84.191900	 
0.049000	 -12.991300	 251.870700	 -7.150300	 -83.285500	 
0.049500	 -10.171500	 247.238200	 -5.639600	 -81.271400	 
0.050000	 -10.977200	 234.347500	 -9.164400	 -88.018800	 
0.050500	 -12.487800	 222.363300	 -8.358800	 -87.817400	 
0.051000	 -15.509000	 215.112300	 -6.747400	 -81.069900	 
0.051500	 -12.890600	 210.278300	 1.712000	 -75.128200	 
0.052000	 -13.192700	 203.933700	 5.538900	 -78.350800	 
0.052500	 -20.343000	 199.401900	 8.963000	 -79.357900	 
0.053000	 -16.214000	 190.942400	 5.538900	 -79.861500	 
0.053500	 -20.645100	 182.382200	 5.941800	 -84.191900	 
0.054000	 -18.731700	 179.864500	 9.668000	 -83.486900	 
0.054500	 -20.141600	 173.822000	 7.754500	 -93.356300	 
0.055000	 -19.235200	 167.477400	 7.855200	 -97.183200	 
0.055500	 -21.551500	 158.514400	 6.344600	 -94.464100	 
0.056000	 -21.148700	 155.694600	 8.660900	 -96.780400	 
0.056500	 -19.436600	 143.911700	 5.740400	 -88.522300	 
0.057000	 -15.005500	 135.250900	 -1.107800	 -88.623000	 
0.057500	 -21.148700	 125.885000	 -7.251000	 -79.257200	 
0.058000	 -24.874900	 118.835400	 -1.712000	 -80.566400	 
0.058500	 -22.760000	 111.282300	 -7.754500	 -78.451500	 
