Time(s):	R.Med. Gastro(μV):	R.Tib.Ant.(μV):	R.Rectus Fem.(μV):	R.Biceps Fem.(μV):
0.000000	 5.491380	 932.999210	 8.765060	 43.103520	 
0.000500	 5.232650	 921.331790	 8.763240	 43.223240	 
0.001000	 5.053410	 905.903630	 8.771560	 43.117750	 
0.001500	 5.128170	 886.483460	 8.778410	 42.772740	 
0.002000	 5.598360	 863.428160	 8.781860	 42.213300	 
0.002500	 6.438920	 838.053160	 8.794370	 41.510380	 
0.003000	 7.476510	 812.687620	 8.837470	 40.772720	 
0.003500	 8.508140	 790.252440	 8.925710	 40.118440	 
0.004000	 9.381280	 773.354740	 9.049730	 39.625480	 
0.004500	 10.018660	 763.210690	 9.177440	 39.290180	 
0.005000	 10.410840	 759.160520	 9.274190	 39.032360	 
0.005500	 10.598870	 759.224000	 9.323490	 38.746130	 
0.006000	 10.654900	 761.186950	 9.331000	 38.360350	 
0.006500	 10.657470	 763.379270	 9.311880	 37.880310	 
0.007000	 10.669480	 764.839840	 9.277080	 37.392090	 
0.007500	 10.728450	 765.105770	 9.230160	 37.027520	 
0.008000	 10.846970	 763.948180	 9.173660	 36.908020	 
0.008500	 11.020050	 761.163760	 9.122250	 37.074200	 
0.009000	 11.236070	 756.399290	 9.111310	 37.442800	 
0.009500	 11.485320	 749.072940	 9.177970	 37.847490	 
0.010000	 11.760140	 738.522340	 9.322710	 38.130540	 
0.010500	 12.048780	 724.323060	 9.501180	 38.219950	 
0.011000	 12.333620	 706.526860	 9.660670	 38.172530	 
0.011500	 12.596850	 685.666990	 9.774900	 38.171250	 
0.012000	 12.827490	 662.594850	 9.847970	 38.438190	 
0.012500	 13.024360	 638.288330	 9.901240	 39.059800	 
0.013000	 13.196700	 613.720030	 9.959370	 39.868600	 
0.013500	 13.363890	 589.779910	 10.040380	 40.550870	 
0.014000	 13.552540	 567.181640	 10.150300	 40.882460	 
0.014500	 13.788600	 546.320800	 10.277360	 40.840950	 
0.015000	 14.082710	 527.198120	 10.381640	 40.545230	 
0.015500	 14.418940	 509.528320	 10.397430	 40.163230	 
0.016000	 14.762850	 492.965210	 10.270620	 39.875580	 
0.016500	 15.083830	 477.304720	 10.001540	 39.857570	 
0.017000	 15.369520	 462.607300	 9.645380	 40.218790	 
0.017500	 15.623750	 449.166690	 9.286520	 40.924220	 
0.018000	 15.859180	 437.278780	 9.009200	 41.783210	 
0.018500	 16.093710	 426.988250	 8.856700	 42.539930	 
0.019000	 16.348260	 418.058530	 8.808230	 43.001560	 
0.019500	 16.640370	 410.171630	 8.809100	 43.113840	 
0.020000	 16.968340	 403.166290	 8.823190	 42.951820	 
0.020500	 17.295690	 397.150090	 8.850040	 42.655230	 
0.021000	 17.554050	 392.479950	 8.903130	 42.352610	 
0.021500	 17.665150	 389.711360	 8.984790	 42.110980	 
0.022000	 17.570140	 389.541900	 9.077110	 41.931390	 
0.022500	 17.257150	 392.643370	 9.145430	 41.776840	 
0.023000	 16.776000	 399.296300	 9.152770	 41.599910	 
0.023500	 16.227390	 409.015960	 9.082020	 41.357120	 
0.024000	 15.724770	 420.582210	 8.955780	 41.021890	 
0.024500	 15.349260	 432.580050	 8.841280	 40.603260	 
0.025000	 15.128150	 444.025850	 8.821140	 40.152710	 
0.025500	 15.041420	 454.601560	 8.942130	 39.741150	 
0.026000	 15.039880	 464.437070	 9.194080	 39.418990	 
0.026500	 15.067210	 473.707180	 9.533800	 39.187140	 
0.027000	 15.080020	 482.305910	 9.913950	 39.000550	 
0.027500	 15.057350	 489.713100	 10.293150	 38.793140	 
