NO_OF_SAMPLES	149
FREQUENCY	100
TIME_STAMP	2025-09-18, 15:16:24	790.93115550
FIRST_SAMPLE	13727
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	-88.329201
FORCE_PLATE_CORNER_POSX_POSY_Y	573.721008
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	-89.185501
FORCE_PLATE_CORNER_NEGX_POSY_Y	115.864998
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	-592.245972
FORCE_PLATE_CORNER_NEGX_NEGY_Y	113.574997
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-594.474976
FORCE_PLATE_CORNER_POSX_NEGY_Y	572.864990
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
13727	137.26000	0.328003	0.448208	2.265423	0.160516	0.150823	-0.108679	0.000000	0.000000	0.000000	
13728	137.27000	0.237194	0.424465	2.090411	0.105770	0.177427	-0.099313	0.000000	0.000000	0.000000	
13729	137.28000	0.282648	0.447837	2.177158	0.142253	0.150607	-0.099398	0.000000	0.000000	0.000000	
13730	137.29000	0.214619	0.424698	1.909631	0.133133	0.114255	-0.085465	0.000000	0.000000	0.000000	
13731	137.30000	0.237182	0.493087	2.534464	0.115151	0.195532	-0.108524	0.000000	0.000000	0.000000	
13732	137.31000	0.236998	0.493303	2.088850	0.133293	0.150485	-0.103869	0.000000	0.000000	0.000000	
13733	137.32000	0.260545	0.401936	2.443190	0.141845	0.159512	-0.067311	0.000000	0.000000	0.000000	
13734	137.33000	0.351001	0.402041	2.178328	0.114993	0.159562	-0.104070	0.000000	0.000000	0.000000	
13735	137.34000	0.260970	0.424346	2.709539	0.105940	0.141077	-0.067224	0.000000	0.000000	0.000000	
13736	137.35000	0.237983	0.424610	2.620396	0.132996	0.150324	-0.067251	0.000000	0.000000	0.000000	
13737	137.36000	0.146788	0.424848	2.528170	0.151936	0.087080	-0.094606	0.000000	0.000000	0.000000	
