NO_OF_SAMPLES	149
FREQUENCY	100
TIME_STAMP	2025-09-18, 15:16:24	790.93115550
FIRST_SAMPLE	13727
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 3
FORCE_PLATE_CORNER_POSX_POSY_X	1137.770020
FORCE_PLATE_CORNER_POSX_POSY_Y	573.268982
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	1133.949951
FORCE_PLATE_CORNER_NEGX_POSY_Y	114.096001
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	630.994019
FORCE_PLATE_CORNER_NEGX_NEGY_Y	120.760002
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	631.823975
FORCE_PLATE_CORNER_POSX_NEGY_Y	581.182007
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
13727	137.26000	-16.387172	29.886226	687.980228	-63.635696	48.336265	-6.086618	-69.560539	-93.774833	0.000000	
13728	137.27000	-19.481020	35.425336	707.354195	-66.299454	50.174210	-6.438515	-70.085863	-95.272556	0.000000	
13729	137.28000	-18.452995	43.132845	725.788770	-68.394590	51.764185	-6.895097	-70.559456	-96.152077	0.000000	
13730	137.29000	-18.281035	48.872954	743.879977	-70.426811	53.225857	-7.280646	-70.823789	-96.842758	0.000000	
13731	137.30000	-17.585923	56.823550	758.624610	-71.925772	54.547653	-7.760784	-71.231161	-97.346260	0.000000	
13732	137.31000	-17.559515	64.397036	771.787986	-73.223519	55.733727	-8.181894	-71.558752	-97.751703	0.000000	
13733	137.32000	-18.664300	71.758744	781.435343	-74.182667	56.794150	-8.497461	-71.978979	-98.143062	0.000000	
13734	137.33000	-21.413353	79.887054	787.813525	-74.755844	57.711796	-8.826275	-72.423671	-98.484573	0.000000	
13735	137.34000	-24.722427	87.983294	790.942776	-75.062055	58.467997	-9.178437	-72.927060	-98.889250	0.000000	
13736	137.35000	-27.648633	95.618981	789.174497	-74.927338	58.854663	-9.504476	-73.431712	-99.327726	0.000000	
13737	137.36000	-29.646954	102.997833	782.079591	-74.460390	58.725508	-9.818531	-73.828338	-100.012864	0.000000	
13738	137.37000	-29.971191	109.733031	769.492069	-73.614795	58.054515	-10.203984	-74.143053	-100.907185	0.000000	
13739	137.38000	-28.482537	116.345112	751.235986	-72.409141	56.850388	-10.604963	-74.414972	-102.117249	0.000000	
13740	137.39000	-24.749035	122.288132	728.201866	-70.780455	54.820792	-10.917608	-74.178508	-103.451322	0.000000	
13741	137.40000	-19.076223	126.461924	695.493486	-68.556490	51.920133	-10.857154	-73.810343	-105.380132	0.000000	
13742	137.41000	-11.716287	128.260391	653.196749	-65.497964	47.923102	-10.568044	-72.904373	-107.661074	0.000000	
13743	137.42000	-1.093525	127.211033	604.310971	-61.800412	43.146598	-9.948489	-71.579707	-110.219307	0.000000	
13744	137.43000	7.012807	124.720018	548.914813	-57.205718	38.194398	-9.284480	-70.346094	-112.836895	0.000000	
13745	137.44000	12.042379	121.697390	487.424175	-51.112606	33.142900	-8.469064	-69.237127	-114.381026	0.000000	
13746	137.45000	15.645516	120.060059	414.928084	-43.048785	27.817903	-7.818017	-68.803245	-114.853599	0.000000	
13747	137.46000	14.894327	111.194399	325.865533	-33.072342	21.786642	-6.987048	-68.937954	-114.667051	0.000000	
13748	137.47000	10.455233	82.078288	223.721427	-22.944125	14.761287	-4.960030	-68.101849	-116.757756	0.000000	
13749	137.48000	4.367362	40.385647	129.398293	-15.060983	8.320773	-2.258367	-65.906080	-128.405084	0.000000	
13750	137.49000	2.701202	20.317573	82.066272	-10.745591	5.121919	-0.856050	-63.981069	-140.372441	0.000000	
13751	137.50000	2.244250	4.932458	57.824729	-7.999554	3.570396	0.081254	-63.549808	-141.292295	0.000000	
13752	137.51000	0.231734	2.267320	39.139633	-5.459233	2.490168	-0.034727	-64.113222	-141.338251	0.000000	
13753	137.52000	-1.354067	2.172046	24.990887	-3.247181	1.727720	-0.358946	-67.223186	-132.949981	0.000000	
13754	137.53000	-1.992635	2.398995	14.101844	-1.523009	1.078117	-0.466300	-71.060554	-114.340476	0.000000	
13755	137.54000	-0.894603	1.646748	7.544783	-0.462607	0.657880	-0.270294	-82.713227	-69.578199	0.000000	
13756	137.55000	0.604657	0.629159	4.769525	0.064955	0.350514	0.040601	0.000000	0.000000	0.000000	
13757	137.56000	1.050843	0.517811	3.374784	0.228973	0.269429	0.136972	0.000000	0.000000	0.000000	
13758	137.57000	1.141712	0.472177	3.461846	0.292899	0.297435	0.118600	0.000000	0.000000	0.000000	
13759	137.58000	1.097080	0.494034	3.637322	0.265080	0.306031	0.150869	0.000000	0.000000	0.000000	
13760	137.59000	1.050467	0.472839	3.374039	0.292841	0.269905	0.136907	0.000000	0.000000	0.000000	
13761	137.60000	1.141342	0.403483	3.549756	0.310698	0.324687	0.146252	0.000000	0.000000	0.000000	
13762	137.61000	1.118528	0.494917	3.373813	0.320005	0.306557	0.146293	0.000000	0.000000	0.000000	
13763	137.62000	1.071714	0.313339	3.374457	0.301591	0.333743	0.146225	0.000000	0.000000	0.000000	
13764	137.63000	1.075991	0.471208	3.986561	0.310777	0.297301	0.132324	0.000000	0.000000	0.000000	
13765	137.64000	1.074341	0.426209	3.724724	0.292473	0.297114	0.146132	0.000000	0.000000	0.000000	
13766	137.65000	1.052439	0.425850	3.899731	0.292347	0.297023	0.150708	0.000000	0.000000	0.000000	
13767	137.66000	1.050854	0.448991	3.547965	0.292539	0.351988	0.132615	0.000000	0.000000	0.000000	
13768	137.67000	1.095458	0.427144	3.375177	0.292665	0.269810	0.150670	0.000000	0.000000	0.000000	
13769	137.68000	1.004356	0.359999	3.374273	0.302082	0.251773	0.127497	0.000000	0.000000	0.000000	
13770	137.69000	1.051778	0.472638	3.636137	0.329358	0.261068	0.127610	0.000000	0.000000	0.000000	
13771	137.70000	1.007669	0.472248	3.899065	0.311001	0.242565	0.132096	0.000000	0.000000	0.000000	
13772	137.71000	1.073450	0.358813	3.636515	0.347342	0.297615	0.136853	0.000000	0.000000	0.000000	
13773	137.72000	1.096321	0.359130	3.637263	0.347505	0.261176	0.132088	0.000000	0.000000	0.000000	
13774	137.73000	1.073111	0.404487	3.461792	0.292859	0.288239	0.123091	0.000000	0.000000	0.000000	
13775	137.74000	1.071082	0.360140	3.111896	0.320286	0.270175	0.136821	0.000000	0.000000	0.000000	
13776	137.75000	1.118169	0.427031	3.374461	0.301900	0.297400	0.132374	0.000000	0.000000	0.000000	
13777	137.76000	1.117681	0.495165	3.199044	0.301781	0.306426	0.150928	0.000000	0.000000	0.000000	
13778	137.77000	1.075640	0.312033	4.162965	0.310578	0.297203	0.136731	0.000000	0.000000	0.000000	
