NO_OF_SAMPLES	303
FREQUENCY	100
TIME_STAMP	2025-09-18, 15:44:55	2502.10000300
FIRST_SAMPLE	167
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	-88.329201
FORCE_PLATE_CORNER_POSX_POSY_Y	573.721008
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	-89.185501
FORCE_PLATE_CORNER_NEGX_POSY_Y	115.864998
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	-592.245972
FORCE_PLATE_CORNER_NEGX_NEGY_Y	113.574997
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-594.474976
FORCE_PLATE_CORNER_POSX_NEGY_Y	572.864990
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
167	1.66000	-10.059503	-112.503101	268.586169	-24.388079	12.293442	4.137693	-44.402182	-74.348195	0.000000	
168	1.67000	-11.364685	-109.450187	270.359961	-24.301706	14.199830	4.482831	-50.967092	-74.003218	0.000000	
169	1.68000	-12.537474	-106.919044	269.562314	-24.018323	16.289810	4.726057	-58.693987	-73.550639	0.000000	
170	1.69000	-13.508855	-104.888526	268.598800	-23.744338	18.706547	4.747966	-67.754675	-73.099455	0.000000	
171	1.70000	-14.595602	-103.860929	266.652232	-23.468817	21.088000	4.535404	-77.013582	-72.752260	0.000000	
172	1.71000	-16.043367	-103.472315	264.416556	-23.119518	23.080484	4.373771	-84.976473	-72.101338	0.000000	
173	1.72000	-16.464052	-100.575445	262.814982	-22.889749	24.863138	4.717811	-92.211295	-72.110724	0.000000	
174	1.73000	-17.089985	-97.447583	262.079578	-22.473637	26.285070	4.938438	-97.798187	-71.208497	0.000000	
175	1.74000	-17.917335	-93.387682	261.698571	-22.220324	27.469184	5.394647	-102.336675	-70.973477	0.000000	
176	1.75000	-18.380724	-90.624959	261.470867	-21.907492	28.275329	5.537785	-105.436799	-70.267505	0.000000	
177	1.76000	-19.320256	-88.547362	261.134989	-21.627504	28.728107	5.566901	-107.159978	-69.608100	0.000000	
178	1.77000	-20.074414	-87.498093	260.524920	-21.492985	28.999284	5.618546	-108.333875	-69.417031	0.000000	
179	1.78000	-20.893176	-87.795990	260.081178	-21.387181	29.170870	5.710809	-109.050332	-69.081183	0.000000	
180	1.79000	-22.209154	-88.895713	260.877992	-21.444848	29.367648	5.807930	-109.267131	-68.921732	0.000000	
181	1.80000	-23.679807	-91.595271	262.024552	-21.632292	29.581541	5.973163	-109.378025	-68.919517	0.000000	
182	1.81000	-24.552874	-95.371249	266.204553	-22.159034	30.109816	6.274478	-109.514207	-69.248718	0.000000	
183	1.82000	-24.741693	-99.146597	271.006772	-22.713764	30.593234	6.666729	-109.331812	-69.512665	0.000000	
184	1.83000	-24.016534	-103.902691	274.737130	-23.290340	30.905754	7.259367	-109.094107	-69.971965	0.000000	
185	1.84000	-22.562784	-108.771629	278.917392	-23.850815	31.336856	7.919563	-109.218662	-70.232115	0.000000	
186	1.85000	-20.426120	-113.274759	283.276006	-24.482564	31.632414	8.593183	-108.890221	-70.744606	0.000000	
187	1.86000	-17.675395	-117.639446	287.015981	-25.052568	31.938200	9.353199	-108.927950	-71.198381	0.000000	
188	1.87000	-15.357294	-122.117516	290.388882	-25.521128	32.072469	10.058713	-108.451102	-71.365140	0.000000	
189	1.88000	-13.132294	-126.297276	292.335351	-25.861750	32.072103	10.727909	-108.037881	-71.478163	0.000000	
190	1.89000	-11.478677	-129.747860	294.823924	-26.236993	32.251628	11.292600	-107.963958	-71.676963	0.000000	
191	1.90000	-11.465731	-133.176577	295.967429	-26.482416	32.303824	11.698908	-107.725549	-71.760902	0.000000	
192	1.91000	-11.613018	-136.310207	298.186176	-26.889176	32.499368	11.981750	-107.560834	-72.168395	0.000000	
193	1.92000	-10.695288	-137.364560	302.467736	-27.319713	32.885527	12.172459	-107.440346	-72.436569	0.000000	
194	1.93000	-9.894440	-137.890968	305.318018	-27.521352	33.065439	12.290235	-107.134559	-72.355958	0.000000	
195	1.94000	-8.984586	-137.660594	306.389062	-27.494443	33.148088	12.302697	-107.150942	-72.047688	0.000000	
196	1.95000	-7.486231	-136.309849	307.288598	-27.429087	33.195487	12.260083	-107.190008	-71.804259	0.000000	
197	1.96000	-5.784842	-134.363335	307.826369	-27.225652	33.072267	12.185495	-106.827205	-71.275740	0.000000	
198	1.97000	-3.996382	-131.662320	308.284696	-26.984271	33.094406	11.973381	-106.976042	-70.743467	0.000000	
199	1.98000	-4.075861	-129.054513	306.598389	-26.640907	32.961617	11.630801	-107.119946	-70.355024	0.000000	
