NO_OF_SAMPLES	303
FREQUENCY	100
TIME_STAMP	2025-09-18, 15:44:55	2502.10000300
FIRST_SAMPLE	167
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 2
FORCE_PLATE_CORNER_POSX_POSY_X	517.924011
FORCE_PLATE_CORNER_POSX_POSY_Y	474.072998
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	519.979004
FORCE_PLATE_CORNER_NEGX_POSY_Y	17.014200
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	17.079901
FORCE_PLATE_CORNER_NEGX_NEGY_Y	17.752501
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	16.074800
FORCE_PLATE_CORNER_POSX_NEGY_Y	475.464996
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
167	1.66000	2.611341	2.086075	2.282785	0.270209	0.362394	0.179041	0.000000	0.000000	0.000000	
168	1.67000	2.611045	2.040847	2.282702	0.261029	0.399019	0.151451	0.000000	0.000000	0.000000	
169	1.68000	2.611518	1.835746	2.104999	0.269745	0.380756	0.169928	0.000000	0.000000	0.000000	
170	1.69000	2.588356	1.972314	2.104543	0.251805	0.362305	0.179133	0.000000	0.000000	0.000000	
171	1.70000	2.611124	1.858825	2.104485	0.269882	0.362701	0.156142	0.000000	0.000000	0.000000	
172	1.71000	2.543269	1.926562	2.283237	0.260785	0.417064	0.156241	0.000000	0.000000	0.000000	
173	1.72000	2.564762	1.881889	1.925201	0.251725	0.362728	0.142442	0.000000	0.000000	0.000000	
174	1.73000	2.610582	1.949955	1.925484	0.260678	0.426465	0.151454	0.000000	0.000000	0.000000	
175	1.74000	2.678415	1.927585	1.747137	0.242556	0.362623	0.169730	0.000000	0.000000	0.000000	
176	1.75000	2.542229	2.040819	2.014165	0.260989	0.371632	0.160815	0.000000	0.000000	0.000000	
177	1.76000	2.564475	1.927346	1.746572	0.242453	0.417293	0.146972	0.000000	0.000000	0.000000	
178	1.77000	2.498249	1.971562	2.282899	0.297132	0.417054	0.174717	0.000000	0.000000	0.000000	
179	1.78000	2.633084	2.041235	2.014451	0.251965	0.353507	0.160614	0.000000	0.000000	0.000000	
180	1.79000	2.565895	1.972201	2.283090	0.260853	0.417100	0.156169	0.000000	0.000000	0.000000	
181	1.80000	2.587808	1.881424	1.837292	0.206031	0.398500	0.179131	0.000000	0.000000	0.000000	
182	1.81000	2.497228	1.994652	2.015225	0.233429	0.425780	0.179286	0.000000	0.000000	0.000000	
183	1.82000	2.609846	1.973110	1.746301	0.251709	0.380978	0.151471	0.000000	0.000000	0.000000	
184	1.83000	2.565293	1.995269	2.014186	0.288134	0.390100	0.156170	0.000000	0.000000	0.000000	
185	1.84000	2.564976	1.949726	1.926046	0.215279	0.398590	0.169967	0.000000	0.000000	0.000000	
186	1.85000	2.542604	2.017791	2.014487	0.269952	0.389797	0.170004	0.000000	0.000000	0.000000	
187	1.86000	2.565720	1.926604	1.925623	0.287809	0.435490	0.169951	0.000000	0.000000	0.000000	
188	1.87000	2.589322	1.835542	2.462581	0.260846	0.371506	0.160808	0.000000	0.000000	0.000000	
189	1.88000	2.541885	1.995404	1.835766	0.242629	0.389779	0.160812	0.000000	0.000000	0.000000	
190	1.89000	2.406158	1.994648	2.013623	0.297231	0.380775	0.161148	0.000000	0.000000	0.000000	
191	1.90000	2.679456	1.881473	1.926537	0.260590	0.389827	0.183526	0.000000	0.000000	0.000000	
192	1.91000	2.588724	1.858594	2.373144	0.233593	0.380553	0.151594	0.000000	0.000000	0.000000	
