NO_OF_SAMPLES	129
FREQUENCY	100
TIME_STAMP	2025-09-18, 15:15:04	710.78465524
FIRST_SAMPLE	119
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	-88.329201
FORCE_PLATE_CORNER_POSX_POSY_Y	573.721008
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	-89.185501
FORCE_PLATE_CORNER_NEGX_POSY_Y	115.864998
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	-592.245972
FORCE_PLATE_CORNER_NEGX_NEGY_Y	113.574997
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-594.474976
FORCE_PLATE_CORNER_POSX_NEGY_Y	572.864990
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
119	1.18000	0.192370	0.424134	2.089716	0.114169	0.168241	-0.044187	0.000000	0.000000	0.000000	
120	1.19000	0.259944	0.424866	1.733549	0.150609	0.150640	-0.067237	0.000000	0.000000	0.000000	
121	1.20000	0.214648	0.492696	2.179259	0.096750	0.168204	-0.085445	0.000000	0.000000	0.000000	
122	1.21000	0.282921	0.447307	2.179904	0.114381	0.195568	-0.071872	0.000000	0.000000	0.000000	
123	1.22000	0.352037	0.538150	2.535369	0.087030	0.177144	-0.025961	0.000000	0.000000	0.000000	
124	1.23000	0.260309	0.424414	2.178422	0.105698	0.159297	-0.080969	0.000000	0.000000	0.000000	
125	1.24000	0.328330	0.447698	2.179294	0.141464	0.195834	-0.067395	0.000000	0.000000	0.000000	
126	1.25000	0.282986	0.401616	1.912994	0.114183	0.177500	-0.062677	0.000000	0.000000	0.000000	
127	1.26000	0.260886	0.378464	2.533670	0.087468	0.168124	-0.067243	0.000000	0.000000	0.000000	
128	1.27000	0.259868	0.493180	2.091402	0.141371	0.213839	-0.067289	0.000000	0.000000	0.000000	
129	1.28000	0.328722	0.401483	2.269394	0.096048	0.204513	-0.062771	0.000000	0.000000	0.000000	
130	1.29000	0.328932	0.424620	2.534424	0.132197	0.204702	-0.044491	0.000000	0.000000	0.000000	
131	1.30000	0.260173	0.447241	2.001790	0.114366	0.177453	-0.067212	0.000000	0.000000	0.000000	
132	1.31000	0.192132	0.424172	2.089029	0.096757	0.141045	-0.080829	0.000000	0.000000	0.000000	
133	1.32000	0.236696	0.424998	1.735427	0.159514	0.205026	-0.085655	0.000000	0.000000	0.000000	
134	1.33000	0.191898	0.539211	2.265246	0.195915	0.168824	-0.044278	0.000000	0.000000	0.000000	
135	1.34000	0.328338	0.424769	2.088991	0.114997	0.141414	-0.094813	0.000000	0.000000	0.000000	
136	1.35000	0.214536	0.447241	1.913990	0.131988	0.213710	-0.053460	0.000000	0.000000	0.000000	
137	1.36000	0.328253	0.401944	1.914286	0.140867	0.223002	-0.053673	0.000000	0.000000	0.000000	
138	1.37000	0.146958	0.355546	1.910614	0.105334	0.131980	-0.053271	0.000000	0.000000	0.000000	
139	1.38000	0.351391	0.379075	2.266894	0.114702	0.159494	-0.081148	0.000000	0.000000	0.000000	
140	1.39000	0.328211	0.493091	2.002282	0.114526	0.177558	-0.076449	0.000000	0.000000	0.000000	
