NO_OF_SAMPLES	129
FREQUENCY	100
TIME_STAMP	2025-09-18, 15:15:04	710.78465524
FIRST_SAMPLE	119
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 2
FORCE_PLATE_CORNER_POSX_POSY_X	517.924011
FORCE_PLATE_CORNER_POSX_POSY_Y	474.072998
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	519.979004
FORCE_PLATE_CORNER_NEGX_POSY_Y	17.014200
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	17.079901
FORCE_PLATE_CORNER_NEGX_NEGY_Y	17.752501
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	16.074800
FORCE_PLATE_CORNER_POSX_NEGY_Y	475.464996
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
119	1.18000	3.239261	2.490907	675.340555	42.435877	-48.826725	0.295408	71.675120	62.332642	0.000000	
120	1.19000	3.376694	2.490810	675.699635	42.399535	-48.799764	0.308871	71.588738	62.245550	0.000000	
121	1.20000	3.397325	2.469036	675.074337	42.317465	-48.772586	0.294990	71.613961	62.183258	0.000000	
122	1.21000	3.397689	2.400300	675.076068	42.253678	-48.782513	0.331797	71.628460	62.092694	0.000000	
123	1.22000	3.235609	2.378483	674.449449	42.162570	-48.727941	0.276951	71.624140	62.016927	0.000000	
124	1.23000	3.326250	2.378847	674.450686	42.089857	-48.728401	0.285929	71.619297	61.908981	0.000000	
125	1.24000	3.304683	2.241687	675.168364	41.962661	-48.711416	0.286049	71.518835	61.662557	0.000000	
126	1.25000	3.212874	2.218972	674.989721	41.908193	-48.766550	0.295497	71.625017	61.599627	0.000000	
127	1.26000	3.144052	2.151001	675.348127	41.781234	-48.803794	0.268142	71.646015	61.382796	0.000000	
128	1.27000	3.165383	2.151599	674.901688	41.717421	-48.785809	0.268056	71.665776	61.329047	0.000000	
129	1.28000	3.118042	1.901925	674.457075	41.535213	-48.786856	0.259048	71.717674	61.114412	0.000000	
130	1.29000	3.069361	1.880349	673.563701	41.398521	-48.750900	0.240712	71.762887	60.994289	0.000000	
131	1.30000	3.159403	1.767276	673.386712	41.289167	-48.705800	0.226710	71.709522	60.854760	0.000000	
132	1.31000	3.159459	1.721735	673.745894	41.171147	-48.715865	0.226746	71.685997	60.649671	0.000000	
133	1.32000	3.112010	1.767914	673.299036	41.080204	-48.707175	0.217614	71.723782	60.552335	0.000000	
134	1.33000	3.112974	1.585329	673.569275	41.016447	-48.735273	0.240701	71.736490	60.444122	0.000000	
135	1.34000	3.135147	1.540603	674.016644	40.916824	-48.753784	0.190129	71.714734	60.258625	0.000000	
136	1.35000	3.044320	1.425960	673.929757	40.798307	-48.736985	0.236337	71.704517	60.097407	0.000000	
