NO_OF_FRAMES	129
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-18, 15:15:04	710.78465524
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
119	1.18000	341.204	299.258	1814.116	317.832	510.946	1488.631	301.931	562.535	1127.307	436.824	627.139	908.965	328.009	138.353	1490.015	290.221	65.341	1123.997	409.427	-3.427	906.008	331.385	492.653	932.131	315.318	469.920	512.600	281.394	439.455	64.485	223.097	404.170	22.777	396.828	455.525	26.765	492.208	415.255	19.169	322.737	142.026	933.825	326.056	174.141	512.978	286.463	201.583	67.690	236.033	251.099	22.720	399.810	167.430	23.294	499.254	204.631	20.032
120	1.19000	341.176	299.248	1814.007	317.728	510.856	1488.634	301.864	562.602	1127.290	436.687	627.181	908.941	327.965	138.417	1489.961	290.190	65.270	1124.033	409.497	-3.375	905.983	331.450	492.686	932.123	315.377	469.974	512.555	281.313	439.556	64.558	223.163	404.223	22.709	396.619	455.589	26.810	492.389	415.191	19.144	322.720	142.027	933.790	326.074	174.104	513.030	286.563	201.757	67.733	236.033	251.101	22.707	399.861	167.511	23.330	499.280	204.685	20.000
121	1.20000	341.355	299.344	1814.062	317.745	510.905	1488.553	301.766	562.595	1127.298	436.535	627.190	908.999	327.960	138.440	1489.935	290.171	65.291	1124.010	409.394	-3.393	906.021	331.365	492.762	932.206	315.268	470.015	512.676	281.311	439.513	64.496	223.168	404.235	22.655	396.650	455.577	26.767	492.336	415.236	19.107	322.720	142.055	933.786	326.087	174.237	513.076	286.584	201.619	67.569	235.992	251.097	22.660	399.755	167.580	23.196	499.174	204.691	19.999
122	1.21000	341.324	299.194	1814.076	317.803	510.987	1488.576	301.684	562.639	1127.384	436.514	627.066	908.884	327.909	138.494	1489.894	290.113	65.278	1123.969	409.283	-3.342	905.981	331.424	492.740	932.164	315.272	470.007	512.572	281.435	439.446	64.399	223.091	404.204	22.782	396.621	455.607	26.889	492.277	415.195	19.177	322.767	142.120	933.723	326.113	174.267	512.978	286.552	201.631	67.614	235.944	251.112	22.760	399.724	167.554	23.251	499.276	204.633	19.994
123	1.22000	341.528	299.236	1814.164	317.754	510.966	1488.644	301.454	562.650	1127.356	436.458	627.024	908.880	327.947	138.394	1489.917	290.097	65.351	1123.920	409.172	-3.304	905.909	331.287	492.922	932.176	315.472	469.957	512.504	281.423	439.509	64.480	223.064	404.172	22.810	396.611	455.636	26.705	492.409	415.061	19.224	322.693	142.133	933.709	326.108	174.179	512.890	286.783	201.478	67.581	235.973	251.127	22.785	399.857	167.493	23.250	499.313	204.650	19.970
124	1.23000	341.608	299.165	1814.193	317.653	510.919	1488.607	301.533	562.700	1127.361	436.203	627.142	908.886	327.909	138.400	1489.922	290.017	65.333	1123.910	409.024	-3.350	905.930	331.301	492.884	932.169	315.329	470.105	512.567	281.387	439.575	64.546	223.113	404.168	22.799	396.886	455.592	26.771	492.325	415.143	19.140	322.774	142.135	933.784	325.977	174.212	513.022	286.444	201.663	67.714	235.950	251.058	22.705	399.788	167.506	23.347	499.264	204.659	20.030
125	1.24000	341.545	299.151	1814.087	317.816	511.094	1488.662	301.394	562.563	1127.410	436.077	627.114	908.947	327.928	138.446	1489.883	289.995	65.371	1123.968	408.892	-3.367	905.900	331.320	492.869	932.184	315.304	469.990	512.591	281.387	439.570	64.508	223.030	404.172	22.727	396.636	455.618	26.802	492.143	415.245	19.106	322.742	142.109	933.870	326.133	174.274	512.940	286.441	201.768	67.825	235.963	251.091	22.734	399.763	167.497	23.245	499.266	204.659	19.977
126	1.25000	341.663	299.209	1814.179	317.750	511.047	1488.656	301.333	562.590	1127.362	435.838	627.210	908.816	327.986	138.490	1489.894	289.798	65.369	1123.998	408.764	-3.286	905.952	331.248	492.924	932.260	315.357	470.075	512.590	281.433	439.505	64.467	223.131	404.153	22.762	396.711	455.507	26.770	492.195	415.276	19.154	322.508	142.207	933.811	326.089	174.278	512.954	286.698	201.541	67.582	235.951	251.123	22.797	399.840	167.520	23.297	499.212	204.642	19.937
127	1.26000	341.576	299.136	1814.135	317.763	511.053	1488.709	301.132	562.674	1127.460	435.794	627.130	908.818	327.990	138.489	1489.936	289.813	65.455	1124.024	408.724	-3.394	905.881	331.300	492.807	932.146	315.381	470.090	512.611	281.353	439.503	64.442	223.060	404.201	22.774	396.672	455.607	26.760	492.284	415.200	19.123	322.606	142.243	933.803	326.045	174.214	512.983	286.501	201.648	67.756	235.908	251.092	22.749	399.798	167.558	23.218	499.192	204.666	19.956
128	1.27000	341.730	299.117	1814.130	317.782	511.112	1488.699	301.075	562.716	1127.465	435.665	627.135	908.826	327.938	138.497	1489.886	289.727	65.409	1124.022	408.592	-3.330	905.901	331.292	492.992	932.144	315.564	470.126	512.565	281.331	439.535	64.531	223.110	404.182	22.735	396.661	455.534	26.641	492.165	415.311	19.156	322.578	142.334	933.880	326.026	174.226	512.993	286.523	201.676	67.724	235.985	251.173	22.698	399.847	167.476	23.266	499.228	204.601	19.941
