NO_OF_FRAMES	149
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-18, 15:16:24	790.93115550
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
13727	137.26000	597.858	321.706	1759.402	714.032	119.720	1458.297	683.212	30.943	1106.638	522.274	107.229	898.410	726.734	485.940	1463.558	828.098	585.809	1116.880	719.892	579.725	873.208	765.781	147.471	916.343	818.740	189.634	501.541	933.793	244.752	64.916	992.526	284.389	26.298	821.313	225.606	24.890	723.162	266.460	18.845	739.236	499.177	908.272	569.425	468.901	513.603	453.068	444.468	78.909	481.453	387.924	21.667	336.329	477.578	73.873	242.697	458.088	106.608
13728	137.27000	588.411	323.008	1757.504	704.045	120.280	1455.894	672.112	31.037	1104.442	510.292	108.580	897.318	716.847	486.332	1460.948	818.291	585.968	1114.077	710.514	580.294	870.610	756.075	148.115	915.000	813.692	189.542	500.841	933.445	245.143	65.523	992.423	284.972	27.834	821.634	225.709	24.677	723.279	266.489	18.811	729.220	499.374	905.660	561.512	467.676	510.628	427.579	443.209	82.028	452.953	387.146	23.784	308.572	474.553	80.603	216.206	453.237	117.905
13729	137.28000	578.699	324.087	1755.065	693.919	120.909	1453.329	660.953	31.196	1102.302	498.468	109.817	895.553	706.629	487.430	1458.270	808.106	586.478	1111.242	700.524	580.790	867.771	746.859	148.080	914.280	807.906	189.542	500.669	933.090	245.196	66.451	992.325	285.627	29.500	821.695	226.045	24.747	723.343	266.628	18.843	718.385	499.616	902.123	552.669	466.345	507.753	403.572	441.698	84.811	427.364	385.886	25.031	283.586	471.439	87.021	192.772	447.969	127.473
13730	137.29000	568.923	325.245	1753.160	684.016	121.737	1450.892	650.092	31.529	1100.200	486.095	111.119	895.053	696.456	488.102	1455.586	798.353	586.906	1108.502	690.739	581.115	865.094	736.756	148.419	913.059	801.682	189.355	500.148	932.986	244.991	67.496	992.143	285.871	30.903	820.861	227.288	23.810	723.210	266.548	18.691	707.985	499.619	899.625	543.384	465.187	505.226	381.943	439.876	87.506	404.750	384.448	26.762	261.709	468.394	92.870	171.925	442.606	135.598
13731	137.30000	559.077	326.693	1751.549	673.861	122.410	1448.762	638.615	32.495	1097.922	474.536	112.505	893.866	686.191	489.074	1453.136	787.621	587.394	1105.504	680.707	581.532	862.376	726.610	148.765	911.916	795.298	189.258	500.002	931.925	245.082	68.389	992.141	285.815	32.460	821.033	227.039	23.835	723.315	266.597	18.695	697.701	500.103	896.795	532.839	464.341	503.134	363.209	437.954	89.217	385.769	381.610	28.078	242.045	464.856	95.421	154.230	437.648	141.181
13732	137.31000	548.732	327.636	1749.104	663.646	123.402	1446.475	627.964	33.231	1096.033	463.671	113.947	892.146	675.779	490.186	1450.960	777.211	587.917	1103.337	670.200	581.920	859.879	715.858	149.102	910.784	787.832	189.305	499.412	931.264	244.602	69.675	992.068	285.414	34.277	821.120	227.018	23.776	723.280	266.743	18.692	688.594	500.221	893.561	520.893	463.249	501.356	349.115	435.373	88.629	370.444	378.467	27.350	226.627	460.777	95.796	140.221	433.244	142.992
13733	137.32000	538.719	329.233	1747.699	653.398	124.498	1444.671	617.281	34.209	1094.092	453.149	114.922	890.447	665.759	491.012	1448.864	766.584	588.341	1100.922	659.764	582.236	857.231	705.778	148.668	909.944	780.600	188.961	499.017	930.321	243.925	71.102	991.866	284.389	36.545	820.594	227.061	23.687	723.220	266.922	18.751	680.332	500.317	891.307	507.618	462.284	501.182	337.717	432.830	86.663	359.449	376.092	26.326	214.733	457.705	93.243	128.456	429.265	140.525
13734	137.33000	529.029	331.028	1746.319	643.247	125.692	1443.087	606.827	35.389	1092.531	442.663	116.271	888.680	655.163	492.080	1446.947	755.463	588.866	1098.832	649.244	582.499	854.893	695.602	148.315	909.099	771.947	188.658	498.657	929.278	242.871	72.425	991.702	283.099	38.926	820.554	226.559	23.463	723.196	267.262	18.778	671.047	501.087	889.020	493.263	460.994	501.090	329.143	429.974	83.927	351.884	373.729	24.398	205.907	454.323	89.489	118.921	425.530	135.429
13735	137.34000	518.238	332.495	1744.775	632.585	127.087	1441.520	596.779	36.667	1090.995	432.057	117.545	887.672	644.720	493.506	1445.548	744.608	589.567	1096.898	638.490	582.702	852.910	684.511	148.403	907.684	763.410	188.442	497.649	928.065	241.630	74.422	991.118	281.474	41.817	820.198	226.083	23.530	723.244	267.421	18.710	661.433	501.503	887.534	478.859	459.932	501.446	322.134	427.214	81.316	346.528	371.005	21.638	199.344	451.099	84.252	110.967	422.193	127.908
13736	137.35000	507.416	333.943	1743.668	622.016	128.536	1440.372	586.656	38.079	1089.950	421.709	118.578	886.480	634.024	495.092	1444.255	733.284	590.111	1095.307	627.387	583.269	851.180	673.428	148.404	906.645	754.059	188.020	497.405	926.948	240.250	76.416	990.752	279.609	45.566	820.068	225.668	23.282	723.113	267.748	18.701	651.180	501.393	885.957	464.932	458.951	501.332	316.507	423.911	77.361	342.965	367.888	18.520	194.523	447.666	78.076	104.964	419.308	119.787
