NO_OF_FRAMES	303
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-18, 15:44:55	2502.10000300
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
167	1.66000	1146.517	328.114	430.072	890.261	519.995	602.228	846.120	581.810	287.412	903.266	487.414	32.919	879.826	190.733	602.773	856.806	107.220	296.018	908.482	203.564	51.460	336.549	543.818	489.794	-51.541	533.162	321.504	-498.718	528.446	169.609	-561.083	482.238	194.676	-484.691	534.970	47.631	-408.886	505.100	22.057	327.801	189.275	548.166	-44.768	191.227	324.276	-480.728	189.974	168.885	-546.088	237.051	187.100	-461.810	181.850	42.840	-391.066	229.211	23.135
168	1.67000	1146.579	328.071	430.277	889.909	519.778	602.317	846.100	581.540	287.430	903.140	487.336	32.822	879.774	190.543	602.686	856.975	106.947	295.948	908.492	203.528	51.564	336.729	543.917	489.979	-51.673	533.557	322.360	-498.772	528.647	169.981	-560.995	482.342	195.149	-484.422	535.063	48.032	-408.755	505.079	22.077	327.530	190.055	549.028	-44.358	190.971	323.626	-480.632	189.265	168.589	-546.011	236.050	186.969	-461.887	181.581	42.592	-391.193	229.248	23.240
169	1.68000	1146.590	327.988	430.588	889.661	519.512	602.270	846.129	581.151	287.359	903.161	487.269	32.761	879.779	190.310	602.613	856.882	106.843	295.923	908.443	203.456	51.536	336.902	543.929	489.950	-52.028	534.198	323.611	-498.943	529.111	170.721	-561.200	482.591	195.873	-483.939	535.119	48.755	-408.489	505.193	22.042	327.306	190.783	549.929	-43.726	190.572	322.896	-480.421	188.373	168.360	-545.901	234.970	186.923	-461.932	181.339	42.264	-391.339	229.223	23.287
170	1.69000	1146.718	327.932	430.937	889.411	519.291	602.330	846.067	580.750	287.331	903.114	487.065	32.675	879.649	190.113	602.616	856.913	106.595	295.837	908.525	203.266	51.546	337.179	544.167	490.211	-52.358	534.809	325.013	-498.974	529.732	171.954	-561.732	483.440	197.321	-483.672	535.343	49.646	-408.230	505.353	22.004	326.950	191.501	550.944	-43.493	190.125	322.561	-480.107	187.228	167.836	-545.876	233.467	186.780	-461.904	180.923	42.031	-391.538	229.234	23.362
171	1.70000	1146.666	327.907	431.150	889.190	519.145	602.400	845.831	580.263	287.462	903.234	486.832	32.527	879.491	189.936	602.470	856.787	106.440	295.899	908.601	203.335	51.619	337.643	544.506	490.235	-52.741	535.305	326.119	-499.132	530.303	173.192	-562.004	484.311	198.569	-483.488	536.179	51.272	-408.058	505.579	22.031	326.301	192.465	552.223	-43.062	189.693	321.996	-479.770	186.208	167.446	-545.711	231.999	186.625	-461.965	180.565	41.758	-391.669	229.284	23.429
172	1.71000	1146.681	327.731	431.519	888.833	519.018	602.535	845.895	579.752	287.563	903.255	486.674	32.553	879.198	189.835	602.375	856.763	106.337	295.781	908.527	203.430	51.618	337.939	544.926	490.293	-52.955	536.091	327.494	-499.894	531.536	175.207	-562.584	485.404	200.280	-483.721	536.973	52.866	-408.218	505.904	22.001	325.763	193.479	553.263	-42.842	189.230	321.757	-479.593	184.873	167.143	-545.631	230.405	186.516	-462.031	179.900	41.337	-391.862	229.173	23.235
173	1.72000	1146.615	327.646	431.966	888.574	518.930	602.678	845.811	579.137	287.661	903.153	486.383	32.488	878.901	189.776	602.392	856.682	106.229	295.837	908.674	203.450	51.651	338.017	545.512	490.383	-53.219	537.020	328.983	-500.587	532.770	176.703	-563.128	486.790	202.007	-484.262	537.825	54.178	-408.718	506.329	22.133	325.127	194.435	554.093	-42.605	188.876	321.599	-479.374	183.732	167.108	-545.368	228.867	186.306	-461.914	179.421	40.893	-391.979	229.160	23.393
174	1.73000	1146.358	327.351	432.558	888.178	519.016	602.920	846.160	578.409	287.836	903.238	486.207	32.442	878.499	189.785	602.149	856.631	106.201	295.782	908.751	203.515	51.684	338.093	545.869	490.313	-53.736	537.783	330.253	-500.782	534.315	178.419	-563.865	488.334	203.906	-484.701	538.852	55.709	-410.082	506.780	22.412	324.243	195.184	554.918	-42.448	188.538	321.636	-479.086	182.688	166.757	-545.185	227.467	186.061	-461.978	178.946	40.547	-392.096	229.202	23.395
175	1.74000	1146.148	327.127	433.056	887.718	519.062	603.151	846.478	577.771	287.987	903.574	485.775	32.393	877.994	189.880	602.162	856.629	106.294	295.772	908.824	203.590	51.664	337.933	546.312	490.358	-54.386	538.915	331.637	-501.452	535.612	180.089	-564.763	490.216	206.689	-486.493	540.308	58.469	-412.227	507.977	22.675	323.412	196.028	556.072	-42.225	188.380	321.758	-478.796	181.502	166.565	-545.070	226.083	185.906	-461.822	178.616	40.314	-392.193	229.189	23.312
176	1.75000	1145.925	327.104	433.675	887.117	519.399	603.630	846.640	577.142	288.157	903.608	485.527	32.348	877.612	190.059	602.151	856.738	106.374	295.919	909.061	203.633	51.747	337.484	546.773	490.537	-55.018	539.930	332.696	-502.769	537.437	182.727	-565.512	491.855	209.177	-488.010	541.821	60.601	-414.360	510.199	22.663	322.770	196.855	556.915	-42.124	188.170	321.945	-478.578	180.376	166.739	-544.953	224.975	185.739	-461.760	178.300	40.183	-392.303	229.133	23.358
177	1.76000	1145.697	327.020	434.446	886.714	519.631	603.999	846.666	576.565	288.232	903.581	485.329	32.314	877.133	190.276	602.204	856.751	106.568	296.154	909.166	203.794	51.800	336.829	547.231	491.009	-55.455	541.121	333.495	-503.924	539.232	185.361	-566.325	493.675	212.226	-489.715	543.131	62.722	-416.492	512.837	22.289	321.978	197.592	558.235	-42.146	187.908	322.228	-478.574	179.965	166.376	-544.976	224.127	185.489	-461.631	177.979	40.056	-392.388	229.127	23.376
