Body	X	Z	Theta	Mass	Momentum
B1	0.6072159398645612	0.5605297660256608	3.291526514112275	33.796	0.0
B2	0.7493385991232794	0.6919909933036105	5.700196044080812	5.508	0.14264906788008197
B3	0.8648899989427347	0.4911366994587582	4.620514225321283	1.9040000000000001	0.025976395436784063
B4	0.8729989669470758	0.17615851291425572	4.920629441643149	1.088	0.006589623518879322
B5	0.8821505847475634	0.5011842155569928	4.589479700747232	1.9040000000000001	0.026522197985889697
B6	0.877464561483963	0.18959251986598907	4.933273556910393	1.088	0.006161977600208707
B7	0.16677837319946273	0.43354696417078487	3.618380062306993	6.800000000000001	0.12510357116220389
B8	-0.24195359253943677	0.25399233542000266	3.483987851121469	3.162	0.05764034068452098
B9	-0.4708417005985185	0.10301553134265076	4.861366216668085	0.9860000000000001	0.0032948730474483537
B10	-0.43897799140207516	0.03648038322087939	6.011531417101616	0.40800000000000003	0.0
B11	0.1605191474361104	0.43063885409806546	3.6168843697837403	6.800000000000001	0.12551823845123636
B12	-0.2574615158654072	0.25155787853718764	3.4690401142664617	3.162	0.0582358230211912
B13	-0.4916213506493783	0.10789693794181676	4.826882204289467	0.9860000000000001	0.003274714800396042
B14	-0.45429400280786264	0.03737609852659164	5.957810105133733	0.40800000000000003	0.0
